,Accuracy,F1_бізнес,F1_новини,F1_політика,F1_спорт,F1_технології,Macro-F1,Weighted-F1
04_SVM_Base,0.9213,0.9317844784972813,0.8551794349707305,0.8839667757362195,0.9880179730404394,0.9456253089471083,0.9209147942383558,0.9209147942383558
05_SVM_ExpB,0.9675,0.9428713363139593,,0.9633004302708175,0.9940089865202196,0.9698780184217077,0.967514692881676,0.9675146928816759
06_BERT_Base,0.9458666666666666,,,,,,0.9458776099574269,0.9458776099574269
07_BERT_ExpB,0.9771666666666666,,,,,,0.9771609029021819,0.9771609029021819
